type;brick;family;class;segment;FamilyId;OperationCode
sac bourse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10136056;PMENDIGOTE10
shorty de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333328;BMOON39
slip;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10092194;BBARDOT5
trousse;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10357383;MPTRIBU1
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250513;AAPPAREL5
étole;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9872362;BORBONESE6
moufles;"Gants/Moufles ";Accessoires Vestimentaires;Vêtements;Vêtements;8715724;ALUXE15
parka;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10080611;FACONNABLE43
peep-toes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9401931;BATA16
sac;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9963072;CRUCIANIC1
"bottines ";Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9247694;AGUARDIANI13
cabas;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8715692;ALUXE15
chemise;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250248;AAPPAREL5
peep-toes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9928945;AYNEOSENS10
soutien-gorge demi-bonnets;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9707290;ROSY19
top;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10246517;LEGEA1
top;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250376;AAPPAREL5
t-shirt;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258127;ADAGATTI7
veste courte;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10451791;CNOIR18
boardshort;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10521124;BROOKSFIELD4
bottes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9329666;AIGNER16
